Epoch,Training Loss,Validation Loss,IoU,Dice,Pixel Accuracy,Precision,Recall,Specificity
1,0.7016598449812995,0.6817857424418131,"tensor(4.9054e-06, device='cuda:0')","tensor(9.8107e-06, device='cuda:0')","tensor(0.7375, device='cuda:0')","tensor(0.0002, device='cuda:0')","tensor(5.0065e-06, device='cuda:0')","tensor(0.9922, device='cuda:0')"
2,0.6668881376584371,0.6437304019927979,"tensor(8.4687e-12, device='cuda:0')","tensor(8.4687e-12, device='cuda:0')","tensor(0.7434, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')"
3,0.6144253412882487,0.5973323583602905,"tensor(8.4687e-12, device='cuda:0')","tensor(8.4687e-12, device='cuda:0')","tensor(0.7434, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')"
4,0.5824630525377061,0.5738300085067749,"tensor(8.4687e-12, device='cuda:0')","tensor(8.4687e-12, device='cuda:0')","tensor(0.7434, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')"
5,0.557400127251943,0.5517295797665914,"tensor(8.4687e-12, device='cuda:0')","tensor(8.4687e-12, device='cuda:0')","tensor(0.7434, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')"
6,0.5121967792510986,0.4557921191056569,"tensor(8.4687e-12, device='cuda:0')","tensor(8.4687e-12, device='cuda:0')","tensor(0.7434, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')"
7,0.40780258509847855,0.38364920020103455,"tensor(8.4687e-12, device='cuda:0')","tensor(8.4687e-12, device='cuda:0')","tensor(0.7434, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0., device='cuda:0')","tensor(1., device='cuda:0')"
8,0.37231391337182784,0.36378129323323566,"tensor(0.0946, device='cuda:0')","tensor(0.1728, device='cuda:0')","tensor(0.7645, device='cuda:0')","tensor(0.8751, device='cuda:0')","tensor(0.0959, device='cuda:0')","tensor(0.9953, device='cuda:0')"
9,0.3543161120679643,0.355988472700119,"tensor(0.5511, device='cuda:0')","tensor(0.7106, device='cuda:0')","tensor(0.8162, device='cuda:0')","tensor(0.5964, device='cuda:0')","tensor(0.8790, device='cuda:0')","tensor(0.7945, device='cuda:0')"
10,0.3336462014251285,0.3021030326684316,"tensor(0.6154, device='cuda:0')","tensor(0.7618, device='cuda:0')","tensor(0.8810, device='cuda:0')","tensor(0.7839, device='cuda:0')","tensor(0.7411, device='cuda:0')","tensor(0.9293, device='cuda:0')"
11,0.28728630807664657,0.2842559019724528,"tensor(0.5217, device='cuda:0')","tensor(0.6855, device='cuda:0')","tensor(0.8722, device='cuda:0')","tensor(0.9302, device='cuda:0')","tensor(0.5428, device='cuda:0')","tensor(0.9859, device='cuda:0')"
12,0.2610173308187061,0.24784563978513083,"tensor(0.5914, device='cuda:0')","tensor(0.7431, device='cuda:0')","tensor(0.8893, device='cuda:0')","tensor(0.9190, device='cuda:0')","tensor(0.6238, device='cuda:0')","tensor(0.9810, device='cuda:0')"
13,0.22677218914031982,0.2138071060180664,"tensor(0.6786, device='cuda:0')","tensor(0.8084, device='cuda:0')","tensor(0.9116, device='cuda:0')","tensor(0.9103, device='cuda:0')","tensor(0.7270, device='cuda:0')","tensor(0.9753, device='cuda:0')"
14,0.20136752393510607,0.1970271815856298,"tensor(0.6985, device='cuda:0')","tensor(0.8224, device='cuda:0')","tensor(0.9182, device='cuda:0')","tensor(0.9290, device='cuda:0')","tensor(0.7377, device='cuda:0')","tensor(0.9806, device='cuda:0')"
15,0.18543671568234762,0.17965089281400046,"tensor(0.7559, device='cuda:0')","tensor(0.8609, device='cuda:0')","tensor(0.9287, device='cuda:0')","tensor(0.8621, device='cuda:0')","tensor(0.8598, device='cuda:0')","tensor(0.9525, device='cuda:0')"
16,0.170626034339269,0.16386551161607107,"tensor(0.7717, device='cuda:0')","tensor(0.8711, device='cuda:0')","tensor(0.9348, device='cuda:0')","tensor(0.8846, device='cuda:0')","tensor(0.8580, device='cuda:0')","tensor(0.9614, device='cuda:0')"
17,0.15432250003019968,0.1573057323694229,"tensor(0.7865, device='cuda:0')","tensor(0.8804, device='cuda:0')","tensor(0.9380, device='cuda:0')","tensor(0.8716, device='cuda:0')","tensor(0.8896, device='cuda:0')","tensor(0.9548, device='cuda:0')"
18,0.1435063746240404,0.14940858880678812,"tensor(0.7836, device='cuda:0')","tensor(0.8785, device='cuda:0')","tensor(0.9409, device='cuda:0')","tensor(0.9299, device='cuda:0')","tensor(0.8327, device='cuda:0')","tensor(0.9783, device='cuda:0')"
19,0.13924016886287266,0.15055001278718314,"tensor(0.7792, device='cuda:0')","tensor(0.8758, device='cuda:0')","tensor(0.9406, device='cuda:0')","tensor(0.9450, device='cuda:0')","tensor(0.8162, device='cuda:0')","tensor(0.9836, device='cuda:0')"
20,0.13312942617469364,0.1408569018046061,"tensor(0.8020, device='cuda:0')","tensor(0.8901, device='cuda:0')","tensor(0.9435, device='cuda:0')","tensor(0.8881, device='cuda:0')","tensor(0.8922, device='cuda:0')","tensor(0.9612, device='cuda:0')"
21,0.13103964510891172,0.13913407176733017,"tensor(0.8064, device='cuda:0')","tensor(0.8928, device='cuda:0')","tensor(0.9445, device='cuda:0')","tensor(0.8858, device='cuda:0')","tensor(0.9000, device='cuda:0')","tensor(0.9599, device='cuda:0')"
22,0.12723230984475878,0.13169418275356293,"tensor(0.8108, device='cuda:0')","tensor(0.8954, device='cuda:0')","tensor(0.9478, device='cuda:0')","tensor(0.9209, device='cuda:0')","tensor(0.8716, device='cuda:0')","tensor(0.9742, device='cuda:0')"
23,0.1204199410147137,0.1328334261973699,"tensor(0.8060, device='cuda:0')","tensor(0.8925, device='cuda:0')","tensor(0.9475, device='cuda:0')","tensor(0.9401, device='cuda:0')","tensor(0.8497, device='cuda:0')","tensor(0.9813, device='cuda:0')"
24,0.11689185351133347,0.12896189838647842,"tensor(0.8140, device='cuda:0')","tensor(0.8973, device='cuda:0')","tensor(0.9489, device='cuda:0')","tensor(0.9264, device='cuda:0')","tensor(0.8703, device='cuda:0')","tensor(0.9762, device='cuda:0')"
25,0.11410611288415061,0.12780017654101053,"tensor(0.8207, device='cuda:0')","tensor(0.9015, device='cuda:0')","tensor(0.9493, device='cuda:0')","tensor(0.9001, device='cuda:0')","tensor(0.9030, device='cuda:0')","tensor(0.9654, device='cuda:0')"
26,0.1144978337817722,0.12621861696243286,"tensor(0.8167, device='cuda:0')","tensor(0.8990, device='cuda:0')","tensor(0.9501, device='cuda:0')","tensor(0.9360, device='cuda:0')","tensor(0.8650, device='cuda:0')","tensor(0.9796, device='cuda:0')"
27,0.10960732400417328,0.12429763625065486,"tensor(0.8186, device='cuda:0')","tensor(0.9001, device='cuda:0')","tensor(0.9508, device='cuda:0')","tensor(0.9396, device='cuda:0')","tensor(0.8641, device='cuda:0')","tensor(0.9808, device='cuda:0')"
28,0.10752231710486942,0.12196568648020427,"tensor(0.8279, device='cuda:0')","tensor(0.9058, device='cuda:0')","tensor(0.9518, device='cuda:0')","tensor(0.9093, device='cuda:0')","tensor(0.9024, device='cuda:0')","tensor(0.9689, device='cuda:0')"
